Abies alba,abete bianco
Crassula tillaea,erba grassa muscosa
Crassula vaillantii,erba grassa di vaillant
Crataegus monogyna,biancospino comune
Crataegus oxyacantha,biancospino selvatico
Crepis aurea,radicchiella aranciata
Crepis biennis,radicchiella dei prati
Crepis capillaris,radicchiella capillare
Crepis conyzifolia,radicchiella maggiore
Crepis foetida,radicchiella selvatica
Crepis lacera,radicchiella laziale
Crepis leontodontoides,radicchiella ingrossata
Crepis neglecta,radicchiella minore
Crepis paludosa,radicchiella a tappo giallastro
Crepis pulchra,radicchiella dolce
Crepis sancta,radicchiella di terrasanta
Crepis setosa,radicchiella cotonosa
Crepis tectorum,radicchiella dei tetti
Crepis vesicaria,radicchiella vescicosa
Crepis zacintha,radicchiella verrucaria
Crithmum maritimum,finocchio marino
Crocus albiflorus,zafferano alpino
Crocus biflorus,zafferano selvatico
Crocus napolitanus,zafferano maggiore
Crucianella angustifolia,crucianella sottile
Crucianella latifolia,crucianella ruvida
Crucianella maritima,crucianella marittima
Cruciata glabra,crocettona glabra
Cruciata laevipes,crocettona comune
Cruciata pedemontana,crocettona comune
Crupina crupinastrum,crupina mediterranea
Crupina vulgaris,crupina comune
Crypsis aculeata,brignolo spinoso
Crypsis alopecuroides,brignolo
Crypsis schoenoides,brignolo ovato
Cryptogramma crispa,felcetta crespa
Cucubalus baccifer,erba cucco
Cucumis melo,melone
Cucumis sativus,cetriolo
Cucurbita maxima,zucca dolce
Cucurbita pepo,zucchini
