Abelia chinensis var. ionandra;たいわんつくばねうつぎ;台湾衝羽根空木
Papaver somniferum var. paeoniflorum;ぼたんげし;牡丹罌粟
Paphiopedilum callosum;パフィオペディルム・カロッスム;
Paphiopedilum charlesworthii;パフィオペディルム・チャールズワーシー;
Paphiopedilum delenatii;パフィオペディルム・デレナティー;
Paphiopedilum godefroyae;パフィオペディルム・ゴデフロイアエ;
Paphiopedilum gratrixanum;パフィオペディルム・グラトリクサヌム;
Paphiopedilum haynaldianum;パフィオペディルム・ハイナルディアヌム;
Paphiopedilum insigne;パフィオペディルム・インシグネ;
Paphiopedilum maudiae;パフィオペディルム・モーディアエ;
Paphiopedilum micranthum;パフィオペディルム・ミクランツム;
Paphiopedilum moquetianum;パフィオペディルム・モクエティアヌム;
Paphiopedilum nigritum;パフィオペディルム・ニグリツム;
Paphiopedilum phips;パフィオペディルム・フィップス;
Paphiopedilum primulinum;パフィオペディルム・プリムリヌム;
Paphiopedilum robinsonii;パフィオペディルム・ロビンソニー;
Paphiopedilum rothoschildianum;パフィオペディルム・ロトスキルディアーヌム;
Paphiopedilum sp.;パフィオペディルム;
Paphiopedilum spicerianum;パフィオペディルム・スピケリアヌム;
Paphiopedilum supardii;パフィオペディルム・スパルディ;
Paphiopedilum venustum;パフィオペディルム・ウェヌスツム;
Paphiopedilum victoria- regina;パフィオペディルム・ウィクトリアレギナ;
Paphiopedilum wardii;パフィオペディルム・ワルディイ;
Paphiopedilum wenshanense;パフィオペディルム・ウェンシャネンセ;
Paradisea liliastrum;パラディセア・リリアストルム;
Paris japonica;きぬがさそう;衣笠草
Paris tetraphylla;つくばねそう;衝羽根草
Paris verticillata;くるまばつくばねそう;車葉衝羽根草
Parkinsonia aculeata;パーキンソニア・アクレアタ;
Parmentiera cereifera;ろうそくのき;
Parmotrema tinctorum;うめのきごけ;梅の木苔
Parnassia foliosa var. nummularia;しらひげそう;白髭草
Parnassia palustris var. multiseta;うめばちそう;梅鉢草
Parnassia palustris var. multiseta f. minima;やくしまうめばちそう;屋久島梅鉢草
Parochetus communis;ブルークローバー;
Parthenocissus henryana;ヘンリーづた;ヘンリー蔦
Parthenocissus quinquefolia;アメリカづた;アメリカ蔦
Parthenocissus tricuspidata;つた;蔦
Parthenocissus vitacea;ウッドパイン;
Paspalum dilatatum;しますずめのひえ;島雀の稗
Paspalum distichum;きしゅうすずめのひえ;紀州雀の稗
Paspalum urvillei;たちすずめのひえ;立ち雀の稗
Passiflora actinia;パッシフローラ・アクチニア;
Passiflora adenopoda;パッシフローラ・アデノポダ;
Passiflora alata;パッシフローラ・アラータ;
Passiflora allantophylla;パッシフローラ・アラントフィラ;
Passiflora amethystina;パッシフローラ・アメティスチナ;
Passiflora apetala;パッシフローラ・アペタラ;
Passiflora biflora;パッシフローラ・ビフローラ;
Passiflora caerulea;とけいそう;時計草
Passiflora caerulea cv. Clear Sky;パッシフローラ・クリアスカイ;
Passiflora caerulea cv. Constance Elliott;パッシフローラ・コンスタンスエリオット;
Passiflora capsularis;パッシフローラ・カプスラリス;
Passiflora citrina;パッシフローラ・キトリナ;
Passiflora cobanensis;パッシフローラ・コバネンシス;
Passiflora coccinea;べにばなとけいそう;紅花時計草
Passiflora coriacea;パッシフローラ・コリアケア;
Passiflora cv. Coral Sea;パッシフローラ・コーラルシー;
Passiflora cv. Elizabeth;パッシフローラ・エリザベス;
Passiflora cv. Incense;パッシフローラ・インセンス;
Passiflora cv. Indigo Dream;パッシフローラ・インディゴドリーム;
Passiflora cv. Jeannette;パッシフローラ・ジャネット;
Passiflora cv. Lady Margaret;パッシフローラ・レディマーガレット;
Passiflora cv. Lilac Lady;パッシフローラ・ライラックレディ;
Passiflora cv. Piresii;パッシフローラ・ピレシー;
Passiflora cv. Pura Vida;パッシフローラ・プラヴィダ;
Passiflora edulis;くだものとけい;果物時計
Passiflora edulis var. flavicarpa cv. Red Fruit;あかみのくだものとけいそう;
Passiflora foetida cv. Nova Odessa;くさとけいそう・ノヴァオデッサ;
Passiflora foetida var. hirsutissima;パッシフローラ・ヒルスティッシマ;
Passiflora gibertii;パッシフローラ・ギベルティー;
Passiflora helleri;パッシフローラ・ヘレリー;
Passiflora incarnata;ちゃぼとけいそう;矮鶏時計草
Passiflora involucrata;パッシフローラ・インウォルクラータ;
Passiflora kermesina;パッシフローラ・ケルメシナ;
Passiflora kermesina x sidaefolia;パッシフローラ・ケルメシナ・シダエフォリア;
Passiflora loefgrenii;パッシフローラ・ロエフグレニー;
Passiflora lutea;きばなとけいそう;黄花時計草
Passiflora maliformis;パッシフローラ・マリフォルミス;
Passiflora mayarum;パッシフローラ・マヤルム;
Passiflora miersii;パッシフローラ・ミエルシー;
Passiflora miersii x loefgrenii;パッシフローラ・ミエルシー・ロエフグレニー;
Passiflora mooreana;パッシフローラ・モーレアナ;
Passiflora murucuja;パッシフローラ・ムルクヤ;
Passiflora nitida;パッシフローラ・ニチダ;
Passiflora palmeri;パッシフローラ・パルメリ;
Passiflora phoenicia;パッシフローラ・フォエニキア;
Passiflora quadrangularis;おおながみくだものとけい;
Passiflora racemosa;ほざきとけいそう;穂咲き時計草
Passiflora rubra;パッシフローラ・ルブラ;
Passiflora sanguinolenta;パッシフローラ・サンギノレンタ;
Passiflora suberosa;くろみのとけいそう;黒実の時計草
Passiflora sublanceolata;パッシフローラ・スブランケオラータ;
Passiflora tricuspis;パッシフローラ・トリクスピス;
Passiflora tricuspis cv. Castanea;パッシフローラ・カスタネア;
Passiflora tridactylites;パッシフローラ・トリダクティリテス;
Passiflora trifasciata;むらさきふいりばとけいそう;
Passiflora x allardii;パッシフローラ・アラルディー;
Passiflora x violacea;パッシフローラ・ウィオラケア;
Patrinia scabiosaefolia;おみなえし;女郎花
Patrinia sibirica;たかねおみなえし;高嶺女郎花
Patrinia triloba;はくさんおみなえし;白山女郎花
Patrinia villosa;おとこえし;男郎花
Paulownia tomentosa;きり;桐
Pavonia hastata;パボニア・ハスタータ;矢の根梵天花
Pavonia intermedia;パボニア・インテルメディア;
Pavonia spinifex;パボニア・スピニフェクス;
Pearcea hypocyrtiflora;ペアルケア・ヒポキルティフローラ;
Pedicularis chamissonis var. japonica;よつばしおがま;四葉塩竈
Pedicularis foliosa;ペディクラリス・フォリオサ;
Pedicularis nipponica;おにしおがま;鬼塩竃
Pedicularis oederi;ペディクラリス・オエデリ;
Pedicularis recutita;ペディクラリス・レクティータ;
Pedicularis resupinata var. caespitosa;ともえしおがま;巴塩竃
Pedicularis resupinata var. oppositifolia;しおがまぎく;塩竃菊
Pedicularis tuberosa;ペディクラリス・ツベローサ;
Pedicularis verticillata;たかねしおがま;高嶺塩竃
Pedicularis yezoensis;えぞしおがま;蝦夷塩竃
Pedilanthus tithymaloides;ぎんりゅう;銀竜
Pedilanthus tithymaloides cv. Cucullatus;だいぎんりゅう;大銀竜
Pedilanthus tithymaloides ssp. smallii;かぎんりゅう;花銀竜
Pelargonium citronellum;ペラルゴニウム・キトロネルム;
Pelargonium crithmifolium;ペラルゴニウム・クリツミフォリウム;
Pelargonium cv. Splendide;パンジーゼラニウム;
Pelargonium denticulatum;パインゼラニウム;
Pelargonium grandiflorum hybrids;ペラルゴニウム;夏咲き天竺葵
Pelargonium graveolens;ローズゼラニウム;
Pelargonium hortorum cv. Vancouver Centennial;もみじばゼラニウム;紅葉葉ゼラニウム
Pelargonium odoratissimum;ペラルゴニウム・オドラティッシムム;
Pelargonium peltatum;アイビーゼラニウム;蔦葉天竺葵
Pelargonium sp.;センティッドゼラニウム;匂い天竺葵
Pelargonium tomentosum;ペパーミントゼラニウム;
Pelargonium x fragrans;ナツメグゼラニウム;
Pelargonium x hortorum;ゼラニウム;天竺葵
Peliosanthes macrostegia;ありさんひめばらん;阿里山姫葉蘭
Pellaea rotundifolia;ペラエア・ロツンディフォリア;
Pellia endiviifolia;ほそばみずぜにごけ;細葉水銭苔
Pellionia yoshiei;ながばさんしょうそう;長葉山椒草
Peltandra virginica;ペルタンドラ・ウィルギニカ;
Peltoboykinia tellimoides;やわたそう;八幡草・八咫草
Peniocereus greggii;ペニオケレウス・グレッギイ;
Pennisetum alopeculoides;ちからしば;
Pennisetum americanum;パールミレット;唐人黍
Pennisetum glaucum cv. Jade Princess;ペンニセツム・ジェードプリンセス;
Pennisetum glaucum cv. Purple Majesty;ペンニセツム・パープルマジェスティ;
Pennisetum macrostachyum cv. Burgundy Giant;ペンニセツム・バーガンディジャイアント;
Pennisetum setaceum;ペンニセツム・セタケウム;
Pennisetum villosum;ペンニセツム・ウィルロスム;
Penstemon barbatus;ペンステモン・バルバツス;
Penstemon clevelandii;ペンステモン・クレウェランディ;
Penstemon cobaea;ペンステモン・コバエア;
Penstemon eatonii;ペンステモン・イートニイ;
Penstemon frutescens;いわぶくろ;岩袋
Penstemon palmeri;ペンステモン・パルメリ;
Penstemon procerus;ペンステモン・プロケルス;
Penstemon rupicola;ペンステモン・ルピコラ;
Penstemon serrulatus;カスケードペンステモン;
Penstemon sp.;ペンステモン;釣鐘柳
Pentalinon luteum;ペンタリノン・ルテウム;
Pentapetes phoenicea;ごじか;午時花
Pentas lanceolata;ペンタス;草山丹花
Pentasachme caudatum;ペンタサクメ・カウダツム;
Penthorum chinense;たこのあし;蛸の足
Peperomia clusiifolia;ペペロミア・クルシイフォリア;
Peperomia fraseri;ペペロミア・フラセリ;
Peperomia obtusifolia;ペペロミア・オブツシフォリア;
Peracarpa carnosa var. circaeoides;たにぎきょう;谷桔梗
Pereskia grandifolia;ペレスキア・グランディフォリア;桜麒麟
Perilla frutescens var. acuta;あかじそ;赤紫蘇
Perilla frutescens var. acuta;あおじそ;青紫蘇
Perilla frutescens var. citriodora;レモンえごま;檸檬荏胡麻
Perilla frutescens var. frutescens;えごま;荏胡麻
Peristrophe hyssopifolia;ペリストロフェ・ヒッソピフォリア;
Peristrophe japonica;はぐろそう;葉黒草
Peristrophe speciosa;ペリストロフェ・スペキオサ;
Pernettya mucronata;しんじゅのき;真珠の木
Perovskia atriplicifolia;ロシアンセージ;
Persea americana;アボカド;
Persicaria affinis;ペルシカリア・アフィニス;
Persicaria amphibia;えぞのみずたで;蝦夷の水蓼
Persicaria chinensis;つるそば;蔓蕎麦
Persicaria conspicua;さくらたで;桜蓼
Persicaria hydropiper;やなぎたで;柳蓼
Persicaria japonica;しろばなさくらたで;桜蓼
Persicaria lapathifolia;おおいぬたで;大犬蓼
Persicaria longiseta;いぬたで;犬蓼
Persicaria nepalensis;たにそば;谷蕎麦
Persicaria nipponensis;やのねぐさ;矢の根草
Persicaria perfoliata;いしみかわ;石実皮
Persicaria pilosa;おおけたで;大毛蓼
Persicaria posumbu;はなたで;花蓼
Persicaria pubescens;ぼんとくたで;凡篤蓼
Persicaria senticosa;ままこのしりぬぐい;継子の尻拭い
Persicaria sieboldii;あきのうなぎつかみ;秋の鰻掴み
Pertya robusta;かしわばはぐま;柏葉白熊
Pertya scandens;こうやぼうき;高野箒
Pertya triloba;おやりはぐま;御槍白熊
Pescatrea lehmannii;ペスカトレア・レーマンニイ;
Petasites hybridus;せいようふき;西洋蕗
Petasites japonicus;ふき;蕗
Petasites japonicus ssp. giganteus;あきたぶき;秋田蕗
Petrea volubilis;ペトレア・ウォルビリス;枝垂れペトレア
Petrorhagia nanteuilii;いぬこもちなでしこ;犬子持ち撫子
Petroselinum crispum;パセリ;オランダ芹
Petroselinum crispum var. neopolitanum;イタリアンパセリ;
Petunia x hybrida;エミネニア;
Petunia x hybrida;ペチュニア;衝羽根朝顔
Petunia x hybrida cv. Surfinia;サフィニア;
Peucedanum japonicum;ぼたんぼうふう;牡丹防風
Peucedanum multivittatum;はくさんぼうふう;白山防風
Peucedanum multivittatum f. dissectum;きれはのはくさんぼうふう;切葉の白山防風
Phacelia corymbosa;ファセリア・コリンボーサ;
Phacelia distans;ファセリア・ディスタンス;
Phacelia tanacetifolia;ファセリア・タナケティフォリア;
Phaius tancarvilleae;かくちょうらん;鶴頂蘭
Phalaenopsis amabilis;ファレノプシス・アマビリス;
Phalaenopsis bellina;ファレノプシス・ベリーナ;
Phalaenopsis gigantea;ファレノプシス・ギガンテア;
Phalaenopsis lowii;ファレノプシス・ローウィ;
Phalaenopsis schilleriana;ファレノプシス・スキレリアナ;
Phalaenopsis sp.;こちょうらん;胡蝶蘭
Phalaenopsis violacea;ファレノプシス・ビオラケア;
Phalaris arundinacea;くさよし;草葦
Phalaris arundinacea cv. Tricolor;とわだあし;十和田葦
Phalaris arundinacea cv. Variegata;ふいりくさよし;斑入り草葦
Phaleria capitata;ファレリア・カピタータ;
Phapis excelsa;かんのんちく;観音竹
Phaseolus coccineus;べにばないんげん;紅花隠元
Phaseolus vulgaris;いんげんまめ;隠元豆
Phellodendron amurense;きはだ;黄檗
Philadelphus lewisii;ルイスばいかうつぎ;ルイス梅花空木
Philadelphus satsumi;ばいかうつぎ;梅花空木
Philadelphus texensis;テキサスモックオレンジ;
Philesia magellanica;フィレシア・マゲラニカ;
Philodendron erubescens;さといもかずら;里芋葛
Philodendron giganteum;フィロデンドロン・ギガンテウム;
Philodendron goeldii;フィロデンドロン・ゴエルディー;
Philodendron martianum;ほていかずら;布袋葛
Philodendron ornatum cv. Wendimbe;フィロデンドロン・ウェンドインベ;
Philodendron selloum;ひとでかずら;海星葛
Philodendron squamiferum;わたげかずら;綿毛葛
Philodendron undulatum;フィロデンドロン・ウンドゥラーツム;
Philodendron wendlandii;ぼうかずら;棒葛
Philydrum lanuginosum;たぬきあやめ;狸菖蒲
Phleum alpinum;みやまあわがえり;深山粟返り
Phleum pratense;おおあわがえり;大粟返り
Phlomis fruticasa;エルサレムセージ;
Phlomis russeliana;ラージエルサレムセージ;
Phlomis tuberosa;フロミス・ツーベローサ;
Phlox caespitosa;フロックス・カエスピトーサ;梅咲き芝桜
Phlox divaricata;フロックス・ディバリカタ;
Phlox drummondii;フロックス;桔梗撫子
Phlox nivalis;フロックス・ニウァリス;
