Abelia chinensis var. ionandra;たいわんつくばねうつぎ;台湾衝羽根空木
Allium schoenoprasum var. yezomonticola;ひめえぞねぎ;姫蝦夷葱
Allium sphaerosepalum;アリウム・スファエロセパルム;
Allium splendens var. kurilense;ちしまらっきょう;千島辣韮
Allium thunbergii;やまらっきょう;山辣韮
Allium triquetrum;アリウム・トリケトルム;
Allium tuberosum;にら;韮
Allium unifolium;アリウム・ウニフォリウム;
Allium ursinum;ベアガーリック;
Allium victorialis ssp. platyphyllum;ぎょうじゃにんにく;行者大蒜
Allium victorialis ssp. platyphyllum;ぎょうじゃにんにく;行者大蒜
Allium vineale;ワイルドガーリック;
Alloplectus capitatus;アロプレクツス・カピタツス;
Alloplectus purpureus;アロプレクツス・プルプレウス;
Alluaudia ascendens;アルアウディア・アスケンデンス;
Alluaudia comosa;アルアウディア・コモサ;
Alluaudia dumosa;アルアウディア・ドゥモサ;
Alluaudia motagunacii;アルアウディア・モンタグナキー;
Alluaudia procera;アルアウディア・プロケラ;
Alnus firma;やしゃぶし;
Alnus hirsuta;けやまはんのき;毛山榛の木
Alnus japonica;はんのき;榛の木
Alnus matsumurae;やはずはんのき;矢筈榛の木
Alnus maximowiczii;みやまはんのき;深山榛の木
Alnus pendula;ひめやしゃぶし;姫夜叉五倍子
Alnus serrulatoides;かわらはんのき;河原榛の木
Alnus sieboldiana;おおばやしゃぶし;大葉夜叉五倍子
Alnus sinuata;シトカはんのき;シトカ榛の木
Alocasia cucullata;しまくわずいも;島食わず芋
Alocasia cuprea;アロカシア・クプレア;
Alocasia macrooohiza;インドくわずいも;食わず芋
Alocasia odora;くわずいも;食わず芋
Aloe acutissima;アロエ・アクティッシマ;
Aloe africana;アロエ・アフリカーナ;喜望峰蘆薈
Aloe albiflora;アロエ・アルビフローラ;雪女王
Aloe andringitrensis;アロエ・アンドリンギトレンシス;
Aloe arborescens;きだちアロエ;木立アロエ
Aloe asperifolia;アロエ・アスペリフォリア;野州錦
Aloe bakeri;アロエ・ベイケリ;斑蛇竜
Aloe barberae;アロエ・バルベラエ;泰山錦
Aloe bellatula;アロエ・ベラツラ;
Aloe calcairophila;アロエ・カルカイロフィラ;
Aloe camperi;アロエ・カンペリ;大太刀錦
Aloe ciliaris;アロエ・キリアリス;笹百合錦
Aloe dichotoma;アロエ・ディコトマ;高蘆薈
Aloe dichotoma x ramosissima;アロエ・ディコトマ・ラモシッシマ;
Aloe ferox;アロエ・フェロクス;
Aloe fosteri;アロエ・フォステリー;
Aloe glauca;アロエ・グラウカ;桜花錦
Aloe grandidentata;アロエ・グランディデンタータ;
Aloe hereoensis;アロエ・ヘレオエンシス;
Aloe humilis;アロエ・フミリス;帝王錦
Aloe isaloensis;アロエ・イサロエンシス;
Aloe jacksonii;アロエ・ジャックソニイ;青霞城
Aloe kedongensis;アロエ・ケドンゲンシス;
Aloe limpopovalley;アロエ・リンポポウァリイ;
Aloe lineata var. muirii;アロエ・ムイリイ;
Aloe marlothii;アロエ・マルロシー;鬼切丸
Aloe millotii;アロエ・ミロッティ;弥勒錦
Aloe mutabilis;アロエ・ムタビリス;女舞姿
Aloe nobilis;アロエ・ノビリス;不夜城
Aloe ortholopha;アロエ・オルトロファ;白夜錦
Aloe pillansii;アロエ・ピランシイ;
Aloe plicatilis;アロエ・プリカティリス;乙女の舞扇
Aloe sinkatana;アロエ・シンカタナ;
Aloe somaliensis var. marmorata;アロエ・マルモラータ;
Aloe spicata;アロエ・スピカータ;
Aloe spinosissima;アロエ・スピノシッシマ;七宝錦
Aloe striata;アロエ・ストリアータ;慈光錦
Aloe succotrina;アロエ・スッコトリナ;姫虎錦
Aloe vera;アロエ・ベラ;
Aloe verdo-orniae;アロエ・ウェルドオルニアエ;
Aloe verecunda;アロエ・ウェレクンダ;
