Cyclamen repandum;primorska ciklama;primorska skrižalina,skrižalina,ciklama,klobučar,klobučac mali,kanćela,verugani klobučac,ugljolistni klobučac
Cydonia oblonga;dunja;gdunja,gunja,kuta,kutina,mrkatunja,tkunja,tunja,kunja,tunja kruškolika,obična dunja
Cymbalaria muralis;klobučić;volčac,poponac,krugljastolistni klobučac
Cynanchum acutum;šiljasti lastavičnjak;šiljasta lastavina,šiljastolistna lastavina
Cynodon dactylon;prstasti troskot;troskotčić,krvokopica,zubovina,troskot,zubača,lokob
Cynoglossum columnae;jednogodišnji pasji jezik;mišjak runasti
Cynoglossum creticum;kretski pasji jezik;gavez,tarpunjac,jezik pasji,gavez bjeli,pasji zajik,trpunjac
Cynoglossum germanicum;gorski pasji jezik;
Cynoglossum officinale;ljekoviti pasji jezik;gavez,tarpunjac,jezik pasji,gavez pravi,mišjak,pesji jezik,sina majke božje zaklonište,trpunjac,gavez mali,mišjak jednostruki,pravi pasji jezik
Cynosurus cristatus;livadni krestac;šnorica,češljika,obični krestac,pasji rep
Cynosurus echinatus;bodljasti krestac;osati krestac
Cyperus flavescens;žućkasti oštrik;
Cyperus fuscus;smeđi šilj;
Cyperus glaber;goli oštrik;
Cyperus glomeratus;klupčasti oštrik;
Cyperus longus;dugi oštrik;galanga divja,peronica,peronjica,peronjika,perunik,žilj vodeni,žilj žuti
Cyperus rotundus;okruglasti oštrik;kosan
Cypripedium calceolus;gospina papučica;prosmic tičji
Chamaecytisus austriacus;austrijska žućica;zanovet siedi
Chamaecytisus elongatus;zanovet dugoljasti;
Chamaecytisus falcatus;trepavičava žućica;zanovet srpasti
Chamaecytisus purpureus;purpurna žućica;zanovet rumenkasti
Chamaecytisus spinescens;trnovita žućica;ježinac
Cytisus scoparius;zajik;brnestra,vrnestra,žuka metlasta,metlasta žućica,žuti zečji trn,zečjak,lakotnik
Cytisus procumbens;polegnuta žućica;žutica položita
Cytisus villosus;rutava žućica;
Dactylis glomerata;čvorasta oštrica;ostrica,batica,oštrica,trava pasja,oštrika,pasji zub,rdobrada,klupčasta oštrica,ježevica,rđobrada,oštrik
Dactylorhiza incarnata;kukuljičasti kaćun;
Dactylorhiza maculata;pjegavi kaćun;križac,križni koren,krstenica,krstoruka,krstova ruka,krstova šaka,kukavičji vez,kukovično perje
Dactylorhiza majalis;širokolisni kaćun;
Dactylorhiza sambucina;bazgin kaćun;kaćun,salep
Danthonia alpina;jednoklasasta šiljka;šilj
Danthonia decumbens;polegla trozubica;trozupka ležeća
Daphne cneorum;crveni uskolisni likovac;crveni likovac,telovčica,brijačica,crveni jeremičak,cmilje
